id_num,"from_date","to_date","name","hauntedBy"
21,"2009-10-09 20:00:00","2009-10-09 23:00:00","Haunted Maze Begins","Ferris Men's Basketball"
3,"2009-10-10 16:30:00","2009-10-10 21:00:00","Birch Run Class of 75",NULL
4,"2009-10-11 18:30:00","2009-10-11 20:30:00","United Church",NULL
5,"2009-10-31 13:00:00","2009-10-31 15:00:00","Charity Baptist Bonfire",NULL
22,"2009-10-16 20:00:00","2009-10-16 23:00:00","Haunted Maze","Ferris Tennis Teams"
23,"2009-10-23 20:00:00","2009-10-23 23:00:00","Cancelled Due to Rain","Chippewa Martiny FD"
37,"2009-10-30 20:00:00","2009-10-30 23:00:00","Cancelled Due to Rain",""
20,"2009-10-31 20:00:00","2009-10-31 23:00:00","Haunted Maze","Ferris Newman Center"
10,"2009-10-17 18:30:00","2009-10-17 20:30:00","Harvest Assembly of God",NULL
11,"2009-09-12 12:30:00","2009-09-12 17:30:00","Maze Opens",NULL
12,"2009-10-03 19:30:00","2009-10-03 21:30:00","St. Philip Neri Youth Group",NULL
13,"2009-10-18 16:30:00","2009-10-18 19:00:00","Chapel of the Lakes Lutheran Church",NULL
17,"2009-09-29 18:00:00","2009-09-29 20:00:00","Cub Scouts",NULL
15,"2009-09-28 18:00:00","2009-09-28 19:30:00","Garden Club",NULL
25,"2009-10-24 20:00:00","2009-10-24 23:00:00","Extra Haunted Maze Nite","FSU Health Management Assoc."
19,"2009-10-25 17:00:00","2009-10-25 19:00:00","Fellowship Church",""
26,"2009-10-22 18:00:00","2009-10-22 21:00:00","Ferris PrePharmD Club",""
27,"2009-10-29 16:00:00","2009-10-29 18:00:00","JD Group",""
28,"2009-12-31 16:00:00","2009-12-31 18:00:00","Ray's Sleigh Ride",""
29,"2009-10-09 15:45:00","2009-10-09 17:00:00","Vitello Party",""
30,"2009-10-24 20:00:00","2009-10-24 21:00:00","Alpha Zeta Bonfire",""
31,"2009-10-14 15:00:00","2009-10-14 18:00:00","W.O.H.",""
32,"2009-10-21 18:00:00","2009-10-21 20:30:00","Remus Baptist",""
34,"2009-11-04 17:00:00","2009-11-04 21:00:00","Yoplait",""
35,"2009-11-05 17:00:00","2009-11-05 20:00:00","Eagle's Nest",""
38,"2009-12-27 14:00:00","2009-12-27 16:00:00","Bomay Sleigh Ride",""
67,"2010-10-10 14:00:00","2010-10-10 17:00:00","Maze Open",""
65,"2010-10-10 18:00:00","2010-10-10 21:00:00","United Church ",""
43,"2010-09-17 15:00:00","2010-09-17 18:00:00","Leadership Mecosta",""
44,"2010-09-18 12:00:00","2010-09-18 17:30:00","Maze Open",""
45,"2010-09-19 14:00:00","2010-09-19 17:00:00","Maze Open",""
46,"2010-09-25 12:00:00","2010-09-25 17:30:00","Maze Open",""
47,"2010-09-26 14:00:00","2010-09-26 17:00:00","Maze Open",""
48,"2010-10-02 12:00:00","2010-10-02 17:30:00","Maze Open",""
