"created_at","updated_at",id,"name","slug","starts_at","ends_at","haunted_by","description",old_id
"2014-11-10 19:10:56","2014-11-10 19:10:56",1,"Haunted Maze Begins","haunted-maze-begins","2009-10-09 20:00:00","2009-10-09 23:00:00","Ferris Men's Basketball",NULL,21
"2014-11-10 19:10:56","2014-11-10 19:10:56",2,"Birch Run Class of 75","birch-run-class-of-75","2009-10-10 16:30:00","2009-10-10 21:00:00","",NULL,3
"2014-11-10 19:10:57","2014-11-10 19:10:57",3,"United Church","united-church","2009-10-11 18:30:00","2009-10-11 20:30:00","",NULL,4
"2014-11-10 19:10:57","2014-11-10 19:10:57",4,"Charity Baptist Bonfire","charity-baptist-bonfire","2009-10-31 13:00:00","2009-10-31 15:00:00","",NULL,5
"2014-11-10 19:10:58","2014-11-10 19:10:58",5,"Haunted Maze","haunted-maze","2009-10-16 20:00:00","2009-10-16 23:00:00","Ferris Tennis Teams",NULL,22
"2014-11-10 19:10:58","2014-11-10 19:10:58",6,"Cancelled Due to Rain","cancelled-due-to-rain","2009-10-23 20:00:00","2009-10-23 23:00:00","Chippewa Martiny FD",NULL,23
"2014-11-10 19:10:59","2014-11-10 19:10:59",7,"Cancelled Due to Rain","cancelled-due-to-rain","2009-10-30 20:00:00","2009-10-30 23:00:00","",NULL,37
"2014-11-10 19:11:00","2014-11-10 19:11:00",8,"Haunted Maze","haunted-maze","2009-10-31 20:00:00","2009-10-31 23:00:00","Ferris Newman Center",NULL,20
"2014-11-10 19:11:00","2014-11-10 19:11:00",9,"Harvest Assembly of God","harvest-assembly-of-god","2009-10-17 18:30:00","2009-10-17 20:30:00","",NULL,10
"2014-11-10 19:11:01","2014-11-10 19:11:01",10,"Maze Opens","maze-opens","2009-09-12 12:30:00","2009-09-12 17:30:00","",NULL,11
"2014-11-10 19:11:01","2014-11-10 19:11:01",11,"St. Philip Neri Youth Group","st-philip-neri-youth-group","2009-10-03 19:30:00","2009-10-03 21:30:00","",NULL,12
"2014-11-10 19:11:02","2014-11-10 19:11:02",12,"Chapel of the Lakes Lutheran Church","chapel-of-the-lakes-lutheran-church","2009-10-18 16:30:00","2009-10-18 19:00:00","",NULL,13
"2014-11-10 19:11:02","2014-11-10 19:11:02",13,"Cub Scouts","cub-scouts","2009-09-29 18:00:00","2009-09-29 20:00:00","",NULL,17
"2014-11-10 19:11:03","2014-11-10 19:11:03",14,"Garden Club","garden-club","2009-09-28 18:00:00","2009-09-28 19:30:00","",NULL,15
"2014-11-10 19:11:04","2014-11-10 19:11:04",15,"Extra Haunted Maze Nite","extra-haunted-maze-nite","2009-10-24 20:00:00","2009-10-24 23:00:00","FSU Health Management Assoc.",NULL,25
"2014-11-10 19:11:04","2014-11-10 19:11:04",16,"Fellowship Church","fellowship-church","2009-10-25 17:00:00","2009-10-25 19:00:00","",NULL,19
"2014-11-10 19:11:05","2014-11-10 19:11:05",17,"Ferris PrePharmD Club","ferris-prepharmd-club","2009-10-22 18:00:00","2009-10-22 21:00:00","",NULL,26
"2014-11-10 19:11:05","2014-11-10 19:11:05",18,"JD Group","jd-group","2009-10-29 16:00:00","2009-10-29 18:00:00","",NULL,27
"2014-11-10 19:11:06","2014-11-10 19:11:06",19,"Ray's Sleigh Ride","rays-sleigh-ride","2009-12-31 16:00:00","2009-12-31 18:00:00","",NULL,28
"2014-11-10 19:11:07","2014-11-10 19:11:07",20,"Vitello Party","vitello-party","2009-10-09 15:45:00","2009-10-09 17:00:00","",NULL,29
